id,group
3554411620252627851,-1592241864088307024
4146796449747127876,-1592241864088307024
8764742992639698264,-1592241864088307024
5961250826242739426,-1592241864088307024
5118165894561060545,-1592241864088307024
4374233621962418070,-1592241864088307024
-2475411843440994655,-1592241864088307024
-3339656654437731208,-1592241864088307024
350513902124182963,-1592241864088307024
9172949409115898249,-1592241864088307024
-3896787873313239647,2301521801249453134
3944485985710920611,2301521801249453134
1995341773575386330,2301521801249453134
-7554481361070788163,2301521801249453134
-5186628084672780655,2301521801249453134
6568131011973305331,2301521801249453134
8933014990075947842,2301521801249453134
-4522685893696338159,2301521801249453134
8998190241986353204,2301521801249453134
-6234710997746071207,2301521801249453134
8156525099058907171,8054316530339044615
5043151437148108290,8054316530339044615
8229768367023355788,8054316530339044615
-6904541559996364109,8054316530339044615
-3925200936911731825,8054316530339044615
-8949887081944518560,8054316530339044615
6269497064132629727,8054316530339044615
8584260063581747006,8054316530339044615
626246610469075498,8054316530339044615
2938606808960904565,8054316530339044615
-4189669990330699170,-3108679229272064181
-1966975994219708725,-3108679229272064181
7437679059689479268,-3108679229272064181
8885728390278620220,-3108679229272064181
-6682045935883409325,-3108679229272064181
6223452362366615088,-3108679229272064181
4722711329997002325,-3108679229272064181
-3657438703372697531,-3108679229272064181
1813399938012731323,-3108679229272064181
6208745860016418570,-3108679229272064181
-8290644783074906029,-7829841823507553596
-4811510594765243200,-7829841823507553596
3336008583318696367,-7829841823507553596
-5094452923602916313,-7829841823507553596
8796234880634920003,-7829841823507553596
3197564574353597521,-7829841823507553596
-4981021692540041001,-7829841823507553596
2117624665460870958,-7829841823507553596
7851511600951854850,-7829841823507553596
9048020365898012618,-7829841823507553596
-3598849706027275523,8489886424861873721
543281035524441776,8489886424861873721
6049716805010740539,8489886424861873721
7363828796744296074,8489886424861873721
697072096958774065,8489886424861873721
-6347018664935410747,8489886424861873721
733774513138386025,8489886424861873721
-5629705193907027615,8489886424861873721
-8773449274655350611,8489886424861873721
683577567489958395,8489886424861873721
4784483536070633507,8054316530339044615
6475661630254166242,8054316530339044615
5896462970902043804,8054316530339044615
-3493247579818706922,8054316530339044615
-861963401690979026,8054316530339044615
4990142421327990086,8054316530339044615
1736785369333308775,8054316530339044615
6221741175042613638,8054316530339044615
6294248355894861006,8054316530339044615
3544818716429550150,8054316530339044615
-3982053365183542845,-7809244608552605300
400373994334391875,-7809244608552605300
-5244279276927422753,-7809244608552605300
4666700986262784956,-7809244608552605300
-1474853567354468232,-7809244608552605300
-6977210758352339640,-7809244608552605300
-334610072242124612,-7809244608552605300
8391023236967316332,-7809244608552605300
-6716203021648128028,-7809244608552605300
8908410494621774206,-7809244608552605300
-5402476456605612723,-723085181666315832
-2034533866307199088,-723085181666315832
-213127209505179218,-723085181666315832
6637039142694453763,-723085181666315832
9027625839067952202,-723085181666315832
1953354970849980686,-723085181666315832
-8129377780204379914,-723085181666315832
5137245708820853628,-723085181666315832
5631446987093900157,-723085181666315832
-3704804403111037847,-723085181666315832
-4835935286803115962,-999674544103308496
8363285287081473255,-999674544103308496
-55700937869528038,-999674544103308496
-4783763676437662446,-999674544103308496
8249237017790893137,-999674544103308496
53298279863789895,-999674544103308496
1125257909128614245,-999674544103308496
8868816525852943331,-999674544103308496
-2910970420754518581,-999674544103308496
7645749487315517904,-999674544103308496
-7199764637709983538,-7084357655541081190
-328319759960681704,-7084357655541081190
-4131362381176137235,-7084357655541081190
5973062490848848212,-7084357655541081190
-6214683811616975559,-7084357655541081190
-2818638790280041545,-7084357655541081190
3677259760504063212,-7084357655541081190
7389841543282214926,-7084357655541081190
3456052860122277338,-7084357655541081190
